notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
8/25/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,3,-----,to occur during a 14-day period commencing on 12/2/2015,Merger,There are no bumping rights.,Plant Layoff
1/6/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(716) 951-7037,Health Center - Long Term Care Unit,53,53,to occur between 6/5/2015 and 11/19/2015,Sale of the facility,1199 SEIU United Healthcare Workers East,Plant Unit Closing
8/21/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 613-5500,Food Service,11,11,10/12/2015,Loss of Contract,-----,Plant Closing
8/19/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 881-5197,Bank,2,5 (3 people have accepted other positions within the company),11/21/2015,Economic,There is no employee representative.,Plant Closing
8/12/2015,Potential Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(201) 571-4018,Grocery Store,13097,"13,097  (total number affected for all sites in New York State)",11/12/2015  – 11/26/2015,The company has filed a voluntary  petition in the United States Bankruptcy Court for the Southern District of New  York under Chapter 11 of the Bankruptcy Code.,"1199 SEIU and UFCW  Local 338, 342, 454A, 1262, 1245 and 1500.",Potential Plant Closing
6/1/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 942-4900 ext.225,Spring Water Distributor,70,70,"Terminations may first take  effect 11/16/2015 through 11/30/2015, and continue permanently after that.",Chapter 11 Bankruptcy,Employees are not represented by a union.  Bumping rights for the affected employees do not exist.,Plant Closing
8/17/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 886-4037,Emergency shelter for unaccompanied minor children crossing into the United States from Latin America,33,33,9/30/2015,Loss of contract with the U.S. Office of Refugee Resettlement,There are no bumping rights for employees affected by this action and the employees are not represented by any labor union.,Plant unit Closing
8/20/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 239-2966,Investment Firm,37,37,Layoffs will begin on or about 11/30/2015,Relocation of Tax & Accounting Customer Service and  Financial Operations functions,None of the affected employees are represented by a union.,Plant Closing
8/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 722-6181,Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,26,26,11/8/2015,Building deterioration and ongoing operating costs for repairs,Local 338 RWDSU/UFCW,Plant Closing
5/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 200-6154,Vitamins and Food Supplements Manufacturer,214,214,"To occur between 7/31/2015 and 
10/30/2015 or 14 days thereafter","Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",There are no bumping rights and the affected employees are not represented by any union.,Plant Closing
8/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 222-6649,Drug Rehabilitation,26,26,11/15/2015,Economic,Bumping rights do not exist and the affected workers are not represented by a union.,Plant Closing
4/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 430-2541,Medical School,1480,1480,08/31/2015 or within 14 days of  this date,COM  will take operational control,"1199 SEIU, NYSNA, APTA",Plant Closing
8/14/2015,Temporary Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 758-1234,Hotel,111,275,11/15/2015,"Renovations to the East Tower. The Hotel anticipates that it will re-open on or about May 10, 2016.","New York Hotel & Motel Trades Council, AFL-CIO; UNITE HERE",Temporary Plant Closing
8/11/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(847) 646-4747,Food Manufacturer and Distributor,129,129,Expected to occur between 8/14/2015 and 11/11/2015,"Merger between Kraft Foods Group, Inc. and the H. J. Heinz Holding Corporation",There are no bumping rights.,Plant Closing
8/10/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 793-2449,Members only online shopping site,39,-----,To occur between 11/9/2015 and 12/29/2015,Economic,The affected employees are not represented by a union. Bumping rights do not exist.,Plant Layoff
4/29/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 729-9000,Importers & Manufacturers of Specialty Foods,No,70,-----,"Relocation of operations to 1734 Bathgate Avenue, Bronx NY 10457",Employees will not bump or displace other employees in order to remain employed with the  company.,Plant Closing
3/17/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(949) 219-3730,Investment advisors,38,38,to occur between 8/31/2015 and 9/14/2015,Sale of company,There are no  bumping rights.  The affected employees are not represented by a union.,Plant Closing
6/25/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 671-5960,Hotel,81,81,9/25/2015,Economic,Bumping rights do not exist.,Plant Closing
4/30/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(219) 853-6108,Steel Bar Manufacturer,49,49,To occur between 8/17/2015 and 8/31/2015,Economic,None of the company's affected employees are unionized.,Plant Closing
7/31/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(716) 639-3311 Ext.2437,Home Care Services,63,-----,on  or shortly after 9/15/2015,Economic,1199 SEIU United Healthcare Workers East,Plant Layoff
7/31/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 602-3611,Pharmaceuticals,13,-----,To occur on 10/31/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
3/25/2013,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 780-1500,Medical Center,61,111,"Postponed to occur between 4/30/2015 and 
8/27/2015
.",Economic,"1199 SEIU United Healthcare Workers East, New York  State Nurses Association, Local 30 & 30 A-B-C-D of the International Union  of Operating Engineers, and Special and Superior Officers Benevolent  Association",Plant Closing
7/30/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and Supplies,1,-----,10/27/2015,Economic,Bumping rights  do exist.,Plant Layoff
7/31/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 417-3196,"Manage, maintain, operate and program the parks and  open spaces of Battery Park City",125,125,10/31/2015,Economic,None of the affected employees are represented by a union or will have “bumping” rights to  other positions.,Plant Closing
3/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 964-4722,Skilled Nursing Facility,226,226,8/19/2015 or within 14 days thereafter,Sale of Business,"1199 SEIU, Local 30",Plant Closing
7/27/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 630-2555,Adult Day Center,47,47,10/25/2015,Economic,1199 SEIU,Plant Closing
2/6/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 465-6457,Home Support Services,40,40,to occur between 9/16/2015 and 9/30/2015,Sale  of CHS Home Support Services to Continued Care  of L.I. Inc.,None of the  affected employees are represented by a union or will have “bumping” rights to  other positions.,Plant Closing
7/29/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 292-2240,Alcohol & Substance Abuse Treatment & CASAC Training Centers,513,513      for all locations listed,9/21/2015,Economic,No employee will have bumping rights.,Plant Closing
7/22/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 874-5530,Food Services,32,32,9/30/2015,Loss of Contract,"Unite Here, Local 100",Plant Closing
7/24/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(518) 332-5950,Invention Company,109,-----,to occur between 7/31/2015 and 8/14/2015,Economic,No bumping rights exist and there are no bargaining unit employees.,Plant Layoff
7/23/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(972) 761-7756,Electronics Company,42,-----,10/21/2015,Terminate PX Project Research and Development Team,Employees are  not unionized or otherwise organized.,Plant Layoff
7/22/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 816-2852,Newspaper Publication,45,-----,10/23/2015,Company Restructuring - Outsourcing certain business operations,Employees are  not represented by unions nor do they have bumping rights.,Plant Layoff
7/27/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 253-6404,Restaurant,73,73,8/30/2015,Economic,Employees have  no bumping rights.,Plant Closing
7/23/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,6,-----,to occur during a 14-day period commencing on 10/21/2015,Economic,There are no bumping rights.,Plant Layoff
7/21/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 483-5600,Food Products,56,-----,7/31/2015,"Asset Purchase Agreement with Gold's Pure Foods, LLC",Teamsters Local 802 Bakery & Warehouse Division,Plant Layoff
7/21/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(973) 681-2040/(973) 681-0182,Transcontinenal Flights/p.s. service,271,271,to  occur on or about 10/25/2015 or during the  14-day period thereafter,Transfer operation to Newark Liberty International  Airport (EWR),International Association of Machinists and Aerospace  Workers,Plant Closing
7/24/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 325-5244,Food Services,42,42,9/18/2015,Building Renovations,"Unite Here, Local 100",Plant Closing
7/21/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 483-5600,Food Products,55,-----,7/31/2015,"Asset Purchase Agreement with Gold's Pure Foods, LLC",Teamsters Local 802 Bakery & Warehouse Division,Plant Layoff
7/7/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,5,-----,to occur during a 14-day period commencing on 10/5/2015,Economic,There are no  bumping rights.,Plant Layoff
7/18/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(201) 571-4018,Supermarket,128,128,Separations expected to occur between 10/19/2015 and 11/1/2015,Economic,UFCW Locals,Plant Closing
7/21/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(973) 681-2040/(973) 681-0182,Transcontinenal Flights/p.s. service,206,206,to  occur on or about 10/25/2015 or during the  14-day period thereafter,Transfer operation to Newark Liberty International  Airport (EWR),International Association of Machinists and Aerospace  Workers,Plant Closing
7/16/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(630) 210-2724,Transportation Services,76,76,10/15/2015,"Loss of Contract with Spackenkill United Free School  District, Dutchess County BOCES and Rhinebeck School District",Bumping rights  do exist.,Plant Closing
7/9/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 220-4344,Transportation Department,10,10,10/8/2015,Economic,"Local 1181-1061 Amalgamated Transit Union AFL-CIO, Local 338 Retail, Wholesale, Department Store Union (TWDSU), United Food and Commercial Workers (UFCS) (Local338)",Plant Closing
6/18/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 868-3441,Building Service & Maintenance,40,40,to  occur between 7/1/2015 and 9/25/2015,Economic,"Local 32BJ, SEIU",Plant Closing
7/8/2014,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 994-2505,Game Developer,68,68,7/8/2015,Economic,Bumping rights  do not exist.,Plant Closing
7/10/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 282-6296,Air conditioning manufacturing,179,310,(8th phase) layoff will occur on or around 10/9/2015,Economic,"United Steelworkers, Local 32",Plant Closing
4/27/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 453-4642,Instrument Manufacturing Operations,105,1000,undetermined at this time,Transitioning operations to Nypro Inc.,Bumping  rights are not available.,Plant Unit Closing
7/8/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 417-8601,Community Service Program,11,11,10/9/2015,Funding Cuts,None of the  affected employees will have “bumping” rights to other positions.,Plant Closing
3/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 964-4722,Skilled Nursing Facility,226,226,7/22/2015 or within 14 days thereafter,Sale of Business,"1199 SEIU, Local 30",Plant Closing
4/1/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 430-2541,Medical School,1546,1546,8/31/2015 or within 14 days of this date,COM will take operational control,"1199 SEIU, NYSNA, APTA",Plant Closing
7/7/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,10/6/2015,Economic,Bumping rights  do not exist.,Plant Layoff
7/7/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,5,-----,to  occur during a 14-day period commencing on 10/5/2015,Economic,There are no  bumping rights.,Plant Layoff
7/2/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 768-5971,Corporate Offices,70,70,Layoffs will occur between 7/3/2015 and 1/31/2016,Reorganization,"Workers United; New York Coat, Suit, Dress, Rainwear & Allied Worker Local 89-22-1, Workers United; Amalgamated Ladies’Garment Cutters Union Local 10, Workers United",Plant Closing
7/1/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(734) 709-8196,Healthcare Services,19,19,Late August early September 2015,Economic,There is no union.,Plant Closing
7/7/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 602-3611,Pharmaceuticals,27,-----,To occur  on 10/3/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
7/7/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650","Mariana Arteaga, Human Resources Director,
 Phone",Pharmaceutical Products,23,----,To be  separated from employment through July 2015,Company Restructuring,Local 95c ICWU/UFCW,Plant Layoff
6/9/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 741-2860,Dialysis Services,65,65,To be  separated from employment through July 2015,Sale of facility,1199 SEIU United Healthcare Workers East; New York State Nurses Association,Plant Closing
6/30/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 802-1085,Medical Supplies and Services,52,52,9/30/2015,"Relocation to South Plainfield, NJ",Affected employees are not represented by a union.,Plant Closing
6/25/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 671-5960,Hotel,81,81,9/7/2015,Economic,Bumping rights do not exist.,Plant Closing
8/19/2013,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 778-6232,Manufacturer of steam specialty & fluid control devices,52,91,Layoffs were extended for remaining workers to occur on 8/31/2015,Economic,International Association of Machinist and Aerospace Workers Union (IAM),Plant Layoff
2/27/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(412) 234-8952,Financial,50,50,layoffs occurring between 4/24/2015 through closing date,Economic,The affected employees are not represented by a union or any other collective bargaining representative.,Plant Closing
6/25/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,9/22/2015,Economic,Bumping rights do not exist.,Plant Layoff
7/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 924-3667 Ext 210,Grocery Store,133,133,9/30/2015,Economic,-----,Plant Closing
3/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(949) 219-3730,Investment advisors,43,43,to occur between 7/27/2015 and 8/10/2015,Sale of company,There are no bumping rights.  The affected employees are not represented by a union.,Plant Closing
7/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(734) 709-8196,Healthcare Services,23,23,9/30/2015,Economic,Yes,Plant Closing
4/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 430-2541,Medical School,1546,1546,Exact date undetermined at this time (late summer of 2015),COM will take operational control,"1199 SEIU, NYSNA, APTA",Plant Closing
5/12/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 366-3708,Bank - Back office,61,61,"to  occur between 
10/14/2015 and 10/27/2015",Merger,Employees are not represented by a union and there are no bumping rights for affected  employees.,Plant Layoff
2/27/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(412) 234-8952,Financial,50,50,extended until 9/28/2015,Economic,The affected  employees are not represented by a union or any other collective bargaining  representative.,Plant Closing
6/22/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 960-1764,Aircraft Maintenance,10,-----,9/25/2015,Economic,Air Transport Division,Plant Layoff
6/19/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(973) 699-3874,Grocery Store,83,83,9/17/2015,Economic,Local 338 RWDSU/UFCW and Local 342 UFCW,Plant Closing
6/23/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 402-7214,Distribution Facility & Resale Stores,28,28,10/31/2015,Economic,No Union affiliation,Plant Closing
6/16/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(908)  835-0420,Equipment and Building Maintenance,32,32,9/15/2015,Contract Expiration,UA Local 13,Plant Closing
6/17/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 228-7669,Food Services,99,99,7/11/2015,Expiration of Contract,SEIU  Local 200,Plant Closing
6/23/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 368-6086,Pharmaceutical Manufacturing,21,----,5th phase  of layoffs to occur during a 14-day period commencing on 9/30/2015.,Economic,No union  representation; bumping arrangements are not available for affected  employees.,Plant Closing
6/23/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,9/14/2015,Economic,Bumping rights  do not exist.,Plant Layoff
6/18/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 868-3441,Building Service & Maintenance,40,40,to  occur between 7/1/2015 and 9/25/2015,Economic,"Local 32BJ, SEIU",Plant Closing
6/18/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 576-6598,Life Insurance,17,-----,To occur in phases between 10/31/2015 and 3/31/2016,Relocation of finance operations,There is no  union representation at this location. Bumping arrangements are not available for affected employees.,Plant Layoff
5/4/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(847) 946-7170,Air Traffic Control Optimum Training Solution,33,33,9/8/2015,ATCOTS contract awarded to SAIC,Employees do  not have bumping rights.,Plant Closing
1/6/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(716) 951-7037,Health Center - Long Term Care Unit,70,70,to occur between 8/8/2015 and 8/21/2015,Sale of the facility,1199 SEIU United Healthcare Workers East,Plant Unit Closing
6/19/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 725-4260,Children and family services,83,-----,9/19/2015,Economic,There are no  applicable bumping rights.  There are no  unions representing affected employees.,Plant Layoff
3/5/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 991-5287,Private Collection Agency,60,-----,To occur between 3/5/2015 and 6/5/2015 or within 14-days of these dates,Termination of Contract with Department of Education,There are no bumping rights and the affected employees are not represented by a union.,Plant Layoff
6/12/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 530-2797,Outsourced call center-desktop support,65,65,To occur between 9/30/2015 and 12/31/2017,Economic,None of the affected employees are represented by a labor organization.,Plant Closing
5/1/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 609-7880,Headstart Program,48,48,8/31/2015,Transfer of program to Child Development Institute,1199 SEIU United Healthcare Workers East,Plant Closing
3/20/2014,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(716) 673-8265,Manufacturing plant,395,395,"To occur between 10/3/2014 and 
8/21/2015
 or within 14  days following for a few employees left on site to wind down operations",Economic,National  Conference Firemen & Oilers District of Local  32 BJ/S.E.I.U.,Plant Closing
6/3/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(202) 661-7130,Bank,29,29,9/1/2015,Economic,No bumping  rights exist and associates are not represented by a Union.,Plant Unit Closing
6/4/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,9/1/2015,Economic,Bumping rights  do not exist.,Plant Layoff
6/9/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 741-2860,Dialysis Services,65,65,7/1/2015,Sale of facility,"1199 SEIU United Healthcare Workers East, New York  State Nurses Association",Plant Closing
6/7/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 519-5663,Retail Store,137,137,to occur between 8/6/2015 and 8/11/2015,Economic,"None of the  individuals are represented by a union or other third party representative, and  no bumping rights exist.",Plant Closing
2/2/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 235-5888,Transportation,121,-----,To occur between 9/14/2015and 9/27/2015,Economic,"Transport Workers Union of America, Local 225",Plant Layoff
6/2/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 282-6296,Air conditioning manufacturing,45,310,(7th phase) layoff will occur on or around 9/1/2015,Economic,"United Steelworkers, Local 32",Plant Closing
6/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(617) 464-8981,Designs and manufactures electronic controls,47,47,Will occur between 9/1/2015 and the end of 2015,Economic,No union,Plant Closing
6/4/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 272-5057,Medical Technology,69,-----,To commence on 9/1/2015,Economic,"International Association of Machinists and Aerospace  Workers (AFL-CIO) & International Brotherhood of Boilermakers, Iron,  Shipbuilders, Blacksmiths, Forgers, and Helpers",Plant Closing
6/2/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 571-4900,Law Firm,53,53,9/4/2015,Economic,"The Company is not part of a union; therefore, no  bumping rights are either applicable or exist.",Plant Closing
3/5/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 991-5287,Private Collection Agency,172,-----,"To  occur between 3/5/2015 and 
6/5/2015
 or within 14-days of these dates",Termination of Contract with Department of Education,There are no  bumping rights and the affected employees are not represented by a union.,Plant Layoff
6/1/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 302-8474,Medical Group,6,-----,8/30/2015,Economic,The affected  employees are not represented by any union and there are no bumping rights at  these facilities.,Plant Layoff
6/1/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 942-4900,Spring Water Distributor,70,70,To  commence on or about 9/2/2015,Chapter 11 Bankruptcy,Employees are  not represented by a union.  Bumping  rights for the affected employees do not exist.,Plant Closing
5/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 949-4952,Family Services,45,-----,Layoffs  to occur at sites listed below between 8/14/2015 and 12/31/2015,Economic,"AFSCME DC 1707, Local 205",Plant Layoff
5/28/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(518) 272-6012 Ext 281,Childcare center,34,34,8/28/2015,Economic,Bumping  rights for affected employees do not exist.,Plant Closing
5/22/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(972) 374-5203,Crew and Maintenance facilities,693,-----,All affected personnel will be reassigned between 6/1/2015 and 1/15/2016,Reassignment of personnel to Dallas/Fort Worth &  Chicago airports,"Association of Flight Attendants, Air Line Pilots  Association",Plant Layoff
5/28/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 930-3405,"Global network of manufacturing, import, export,  trading and distribution companies",46,46,to occur between 8/31/2015 and the 14-day period commencing on 12/31/2015,Relocation of offices to North Carolina,There are no bumping rights and the affected employees are not represented by a union.,Plant Closing
5/28/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(319) 369-3552,Developing and Manufacturing - Clean Energy Systems,1,-----,9/30/2015,Economic,Employees are  not represented by a union and do not have bumping rights.,Plant Layoff
5/26/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(727) 729-2602,Financial investment advice services,38,38,8/31/2015,Economic,No applicable  bumping rights and no individuals are represented by a union or labor  organization.,Plant Closing
5/26/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 257-2040 Ext 122,Milk and milk byproducts sales and distribution,72,72,to  occur between 8/24/2015 and 9/7/2015,Relocation of operations to new location,Teamsters Local 553,Plant Closing
3/25/2013,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 780-1500,Medical Center,61,111,"Postponed  to occur between 4/30/2015 and 
7/31/2015
.",Economic,"1199 SEIU United Healthcare Workers East, New York  State Nurses Association, Local 30 & 30 A-B-C-D of the International Union  of Operating Engineers, and Special and Superior Officers Benevolent  Association",Plant Closing
5/20/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,8/17/2015,Economic,Bumping rights  do not exist.,Plant Layoff
5/20/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 602-3611,Pharmaceuticals,12,-----,To occur between 8/8/2015 and 8/11/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
3/5/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 991-5287,Private Collection Agency,172,-----,"To occur between 3/5/2015 and 
5/22/2015
 or within 14-days of these dates",Termination of Contract with Department of Education,There are no bumping rights and the affected employees are not represented by a union.,Plant Layoff
5/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(607) 756-2821  Ext 202,Forgings and Galvanizing,89,89,To occur in phases between 8/17/2015 and 12/30/2015,Economic,"United Automobile, Aerospace, and Agricultural Implement Workers of American and its affiliate U.A.W. Local #1774, U.A.W. Region 9",Plant Closing
1/27/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(607) 324-8745,Hospital,55,-----,to occur in phases between 4/30/2015 and 8/26/2015,Economic,Bumping rights do not exist because none of the affected employees are members of a labor organization.,Plant Layoff
5/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 949-4952,Family Services,45,-----,Layoffs  to occur at sites listed below between 8/14/2015 and 12/31/2015,Economic,Employees do  not have bumping rights.,Plant Layoff
5/7/2015,Plant  Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 751-4462,Baggage Handling,46,46,6/1/2015,Loss of contract with International Air Terminal LLC  to Air Serv Corporation,No bumping rights exist.,Plant Unit Closing
